text,severity
"Daqui a três meses, faço 25 anos e mal saio de casa, vivendo com minha mãe adotiva, que se tornou difícil após a morte do meu pai, descontando sua amargura em mim e afetando meu psicológico. Tive um emprego por apenas quatro meses e estou desempregado há três, saindo apenas para ir à academia. Faço faculdade de geografia, mas não gosto e me sinto mal lá, relembrando os traumas do bullying que sofri na escola, enquanto vejo os outros se divertindo e eu sem ânimo e dinheiro. Ninguém se aproxima de mim por causa da minha expressão fechada, e mesmo tentando arranjar emprego em telemarketing, meu nervosismo e timidez nas entrevistas me atrapalham. Sinto uma tristeza profunda ao perceber como as pessoas me tratam mal e não consigo entender o porquê.",1
"Estou desesperado e confuso. Sempre soube que sou cis, mas desde os últimos dois anos, comecei a desejar ter um corpo mais afeminado e me sentir bonito(a) em roupas femininas. Quero me maquiar, me depilar e ser tratado(a) no feminino. No entanto, meu corpo e rosto não são femininos e sei que nunca vou conseguir ser parecido com uma mulher. Isso me deixa frustrado e desanimado, e às vezes me sinto vontade de chorar quando me olho no espelho. Estou confuso sobre se isso tem a ver com ser trans ou se é apenas algo passageiro que vou esquecer.",1
"Recentemente, fui a uma festa e percebi o quanto a pandemia me isolou, pois não fiz amigos e me senti extremamente solitário durante o show. Com 19 anos, enfrento a depressão, que já me acompanhava há muito tempo, e me afastei das pessoas que se importavam comigo. Sempre fui aquele garoto conservador que se fechou para o mundo, e mesmo não sendo tão introvertido, tenho dificuldade em interagir em público. No entanto, encontrei um amigo que me apresentou a outras pessoas, e uma delas me tratou como um amigo, algo que eu realmente senti falta. Essa interação me fez perceber o quanto preciso de conexões e que não posso viver sozinho; definitivamente, preciso voltar à psicóloga para lidar com esses sentimentos.",1
"Eu queria ir para essa escola de arte em uma cidade cara só porque esse lugar é muito mais barato do que a maioria das escolas de arte e tem todas as áreas que me interessam, que eu poderia usar para, tipo, storyboards para filmes e coisas assim. Eles têm dormitórios muito legais e se eu conseguisse o financiamento para a escola, eu poderia fazer isso, mas eu tenho uma doença mental muito grave e preciso do meu gato, ele verifica se estou respirando à noite e me conforta durante as crises de pânico. O que significa que eu precisaria de um apartamento e de um emprego. Não sou contra trabalhar duro, só estou me sentindo pra baixo agora, a falta de respostas para as aplicações pode fazer isso. Estou em um estado que nem tem uma escola de arte de verdade.",1
"Sou um homem de 23 anos, estudante em uma cidade diferente da dos meus pais, e recentemente fui demitido de um emprego que me deixava infeliz, onde enfrentava pressão e agressividade do meu patrão. Essa experiência me transformou, e amigos notaram que eu me tornei mais fechado e triste, ao ponto de considerar a terapia, mas não consigo arcar com os custos. Agora, desempregado, vivo em uma república e dependo da ajuda do meu pai, que me dá R$400,00 mensais, mas isso mal cobre minhas despesas. Minha alimentação se tornou precária, e a tristeza me impede até de sair da cama, enquanto luto para encontrar um novo emprego. Apesar de me cadastrar em várias vagas, a solidão e a fome me assombram, mas sigo acreditando que essa fase vai passar. Agradeço a quem leu minha história e espero que todos fiquem bem.",1
"Eu não me sinto bem comigo mesma porque preciso esconder quem eu sou. Sou uma adolescente de 14 anos e descobri que sou lésbica recentemente, o que é muito difícil para mim. Meus amigos mais próximos me apoiaram, mas não consigo contar para minha família. Eu tenho que apagar mensagens e esconder coisas importantes sobre mim. Estou fazendo terapia e isso me ajuda, mas ainda estou tentando entender quem eu sou e me sentir confortável com minha identidade. Estou lutando com problemas de saúde mental e espero superar isso.",1
- Fobia específica: o tipo mais comum. É quando algo causa um medo exacerbado na pessoa. O DSM-5 moveu mais dois transtornos para um grupo específico. Mas são transtornos de ansiedade: - TOC e estresse pós-traumático.,1
"Oi pessoal, sou um homem de 22 anos que tem enfrentado problemas extremos de depressão e ansiedade desde os 12 anos. Também fui nadador competitivo durante minha infância e esses problemas começaram a surgir quando fui colocado em um grupo etário com equipes muito rigorosas e exigentes. As sessões de natação duravam 1,5 horas (4 mil jardas) 6 dias por semana, com uma prática de terra firme de 30 minutos todos os dias ou a cada dois dias, eu acredito. Eu tinha participado de talvez uma competição antes de ser colocado nesse grupo e fiquei completamente sobrecarregado.",1
"Eu não sei o que fazer. A polícia não ajuda, pois geralmente sou colocada na viatura e interrogada como uma maldita criminosa, porque ""por que ela mentiria?"". Eu não consigo manter os 2400 por mês em pensão alimentícia porque não consigo um emprego (geralmente ganho 3000 por mês líquidos) e estou quase certa de que vou ficar sem-teto em alguns dias. Tudo o que eu quero é ajudar minha filha e garantir que ela esteja segura, e eu já esgotei todas as ideias. Qualquer coisa que vocês, pessoas gentis, possam pensar seria muito apreciada.",1
"Quando eu morava com outras pessoas, eu costumava ficar atrás da porta e esperar ficar quieto antes de sair do meu quarto. Falar com as pessoas me deixa tão ansioso. Não ajudava que um deles tocasse música alta o dia todo, então eu colocava meus fones de ouvido e ia dormir até que ele parasse. Eu estava tão ansioso e deprimido naquele semestre que isso realmente afetou minhas notas. De qualquer forma, hoje foi a primeira vez que vi alguém para ajudar com minha ansiedade e eu não sabia o que esperar.",1
"a única coisa que eu sempre quero é estar nos braços dele. Basicamente, isso me aterroriza de volta para os braços dele toda vez. Nós dizemos ""eu te amo"", ele me abraça tão forte. Ele é tão quente, estou desejando muito estar nos braços dele agora, para ser sincera. Eu não quero dormir sabendo que ele não vai estar na cama comigo.",2
"Às vezes, quando finalmente saía da cama e me levantava, sentia como se dissesse ""Ugh, *finalmente*"". Ainda assim, isso não acontecia todas as manhãs, e mesmo quando acontecia, eu ainda me sentia descansado do longo sono, então não pensava mais nisso. Além disso, nunca eram pesadelos. Infelizmente, meu corpo se habituou ao componente do sono da Mirtazapina após cerca de cinco meses, e meu antigo ciclo de sono distorcido lentamente voltou à minha vida. O único benefício que restou do medicamento foi o leve amortecimento mental que ele proporcionava, mas ao mesmo tempo comecei a suspeitar que o que eu precisava não era de amortecimento, mas de tomar novas decisões construtivas na vida, que apenas eu poderia fazer.",2
"Mas eu estava me sentindo cada vez mais solitário... como se não pudesse confiar ou contar com ela. Isso estava me destruindo por dentro e eu estava sempre ansioso. Finalmente, após uma crise que tive no Natal por causa dos meus medos e da falta de ajuda da minha parceira para me curar disso, ela terminou comigo. Eu fui para casa no dia seguinte e não falamos desde então. Estou devastado.",2
"Sou um homem de 40 anos, casado e pai de dois filhos, com um emprego público que gosto, mas minha vida financeira se desestabilizou após gastos excessivos e golpes que me envergonham. Desde sempre, lido com um temperamento melancólico e episódios depressivos, tendo feito terapia e usado antidepressivos por anos. Recentemente, terminei meu doutorado, um sonho antigo, mas após a defesa, um vazio e desânimo tomaram conta de mim, afetando meu casamento e minha vida social. Sinto que busquei realizações para impressionar meus pais, mas isso não me trouxe felicidade, e agora me vejo preso a uma vida sem prazer, sem coragem para tentar coisas novas. Reconheço que preciso viver para mim e buscar o que realmente me faz feliz, mas o medo da mudança e da reprovação ainda me paralisa. Sinto que estou andando em círculos, precisando de coragem para agir e superar meu passado.",2
"Eu tenho neuropatia nos pés e depressão clínica, além de acessos de raiva. Não tenho seguro, não tenho tratamento, não tenho medicação. Apenas eu e minha família para me manter em frente. Minha esposa tem fibromialgia, que se caracteriza por fadiga crônica, dor crônica, além de depressão com ansiedade severa. Atualmente, estou aguardando a aprovação para a aposentadoria por invalidez, enquanto basicamente me mato fazendo corridas no Amazon Flex para ganhar algum dinheiro.",2
"Eu tentei de tudo no trabalho, desde meditação, yoga no escritório, até conseguir um quadro para acompanhar minhas tarefas. Todos os dias pareciam opressivos, e eu comecei a temer lentamente minhas consultas com os pacientes e, às vezes, as apressava porque sentia um ataque de pânico se aproximando. Para piorar a situação, minha supervisora não é a pessoa mais compreensiva. O inglês não é a primeira língua dela, e às vezes é muito difícil me comunicar com ela pessoalmente ou por e-mail. Eu me encontro com ela duas vezes por mês para discutir meu progresso e ela nunca me dá um feedback positivo, apenas destaca as coisas que fiz errado e as coisas que não faço.",2
"Eu tenho medo de entrar em muitos detalhes apenas porque temo constantemente que ele saiba que eu falo sobre ele. Para resumir, meu pai foi fisicamente violento comigo, com minha mãe, nosso cachorro, maltratou todos os seus animais, vazou nossas informações em sites duvidosos várias vezes e fez da minha vida um verdadeiro inferno até eu ir ao tribunal para parar de ter visitas com ele. Eu quase morri duas vezes por causa dele. Eu pensei que isso não afetaria nada além do reflexo de sobressalto, problemas de confiança, etc., mas aqui estou eu, anos depois da minha última visita com ele, e isso ainda está me afetando terrivelmente. Eu acabei de ficar deitada na cama chorando por meia hora porque tenho medo de todos ao meu redor.",2
"Quando tento fazer amizade com artistas, pensadores ou pessoas ativas, eles frequentemente me rejeitam porque meu trabalho tem sido abaixo do esperado e quase inexistente, e não me veem como igual. Ou então, demonstram interesse sexual ou romântico que não retribuo, o que me deixa nervoso e evasivo. Às vezes, acho que sou rejeitado porque confundem meu interesse em fazer amigos com um interesse romântico. Estou bastante irritado com todas as suposições, jogos e projeções que acontecem no mundo.",2
"É meio interessante como, mesmo quando não estou me sentindo péssimo, o cansaço ainda me faz ruminar e sentir raiva. Hm. Eu me pergunto se é a sonolência biológica ou se é meio que uma resposta pavloviana porque estou tão acostumado a ter sentimentos terríveis quando durmo? Provavelmente é um pouco dos dois. De qualquer forma, como vocês estão?",2
Eu me sinto tão vulnerável e inseguro de mim mesmo o tempo todo agora. Eu não pensei que isso me afetaria dessa forma. Estou tão cansado de comer macarrão instantâneo e barras de granola. Estou cansado de procurar a cafeteria mais barata que tenha wifi. Estou cansado de me sentir um fardo.,2
"Eu sempre fui uma pessoa forte e otimista, capaz de superar obstáculos e aprender com as dificuldades. Mas agora, estou me sentindo um estorvo, desempregado e com dívidas, e estou cansado de tentar e não conseguir nada. Eu me sinto como se estivesse preso em um buraco sem saída, e a cada dia que passa, sinto que estou mais perto de não ter mais forças para continuar. Eu estou cansado de ser um estorvo para aqueles que amo, de escolher os horários que como para ter comida suficiente, de ficar com medo da chuva porque o meu telhado está quebrado. Eu estou cansado de tudo. Eu sempre amei viver, mas agora, a vida parece ser uma merda, e eu sinto que estou prestes a perder a minha última esperança. Eu estou cansado de tentar, e estou começando a achar que não há mais nada a fazer.",3
"Sempre fui uma pessoa ansiosa e com dificuldades de me relacionar, mas nunca precisei de medicação. Estudei na mesma escola durante toda a adolescência e, ao entrar na faculdade de química, enfrentei um mundo novo que me deixou deprimido e sem confiança. No primeiro semestre, não passei em nenhuma matéria, mas no segundo consegui me integrar melhor e melhorar minhas notas. No entanto, ao iniciar a iniciação científica, cometi erros que me deixaram inseguro e desmotivado. O trabalho no laboratório foi frustrante, e durante o TCC, percebi que não conseguia me adaptar ao sistema que impõe uma rotina desgastante. Hoje, aos 25 anos, sinto que não tenho futuro, sou incapaz de interagir socialmente e estou cansado de tentar mudar, acreditando que a vida é apenas sofrimento, o que me faz pensar que, inevitavelmente, não verei uma saída para essa situação.",3
"Sempre me senti muito feio e com habilidades sociais limitadas, o que me gerou um medo constante de interagir com as pessoas e uma vida sem graça. Na escola, tive poucos amigos e sofri com piadas sobre minha aparência, especialmente após o massacre do Realengo, quando insinuaram que eu poderia fazer o mesmo. Minha vida afetiva foi marcada pela vergonha de ser virgem e pelas piadas que isso gerava, o que me levou a enterrar esses sentimentos. Apesar de me dedicar aos estudos e ao trabalho, acreditando que isso me traria amor e aceitação, cheguei aos 29 anos sem nunca ter tido uma namorada e sem habilidades sociais com mulheres. Agora, choro quase diariamente pela solidão e pela dor de ser quem sou, lembrando da minha mãe, que foi a pessoa que mais amei e que perdi. Sinto que o tempo passou e, enquanto espero por algo que parece impossível, a dor da solidão só aumenta.",3
"Eu realmente *gostaria* de poder conversar sobre isso com terapias familiares e intervenções, Deus sabe que eu tentei. Minha existência aqui é predestinada e eu vou me tornar quem e o que minha família quer que eu seja, lidando com o que quer que eles joguem no meu caminho. Eu gostaria que minha mãe pudesse me amar. É esse plano ou suicídio, por mais direto e intenso que isso soe. Eu planejo deletar isso por paranoia em breve, mas vou manter as respostas.",3
"Eu vou viver feliz, quase como se aquela parte da minha vida não tivesse acontecido, a ser derrubada pela dor. Sinto-me culpada comigo mesma pela intensidade das reações tantos anos depois. Sinto-me culpada em relação ao meu parceiro, que tem que lidar com isso, mesmo não sendo ele quem me causou essa dor. Ele tem sido nada menos que maravilhoso, mas tenho medo de que meu passado acabe afastando-o. Certamente, às vezes, gostaria de conseguir me afastar de mim mesma.",3
"Os cigarros costumavam ajudar, mas não ajudam mais. O álcool ajuda, mas depois volta pior no dia seguinte. Nos meses em que isso não acontece, estou bem ajustado. Eu prospero. Mas então minha sorte muda, alguém começa a ouvir música ao lado ou a acelerar um motor velho no quintal, e todo o meu progresso desmorona.",3
Tudo sobre a minha existência era um fardo para ela. Eu não fui exposto a um grande trauma. Foram pequenos traumas ao longo de um longo período de tempo. Agora me sinto muito inseguro o tempo todo e assustado. Estou constantemente com medo de algo que não sei o que é.,3
"Eu sempre sinto que ninguém realmente gosta de mim e que eles apenas me suportam por pena. É um ciclo vicioso, porque essa insegurança me torna mais autoconsciente e distante, o que me torna ainda menos agradável. Eu só sinto que sou nada além de um peso para todos e um incômodo. Estou constantemente atormentado por esses pensamentos sobre como sou uma pessoa terrível, e isso é tão exaustivo. Eu gostaria de ser normal.",3
"Estou mentalmente doente? Quero me matar, mas estou com medo até de fazer isso. Deveria começar a faculdade no outono, mas não acho que isso vai dar certo. Este post inteiro provavelmente é um monte de besteira, mas não dormi há quase 2 dias e não consigo pensar direito. Não sei o que fazer, mas não posso continuar assim.",3
"Eu não quero machucar ninguém. O terapeuta diz que isso é auto-punição, que eu quero que essas pessoas me digam o quão lixo eu sou para validar o que já acredito. Mas eu nunca penso nisso dessa forma no momento. Eu me sinto melhor se elas são gentis, e um pouco pior se são frias e clínicas. Se isso é inconsciente, bem, estou ficando cansado dessa ideia.",3
